severity,category,item,detail
warn,duplicate_title,EVYELİ TEZG.1G/1D SOL 3 PERDELİ TABAN RAFLI 140*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-147c8-11, oztiryakiler-endustriyel-mutfak__7758-147d8-11"
warn,duplicate_title,EVYELİ TEZG.1G/1D SAĞ 3 PERDELİ TABAN RAFLI 140*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-147c8-15, oztiryakiler-endustriyel-mutfak__7758-147d8-15"
warn,duplicate_title,EVYELİ TEZG.1G/1D SOL 3 PERDELİ TABAN RAFLI  DEM. 140*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-147c8-11, oztiryakiler-endustriyel-mutfak__7754-147d8-11"
warn,duplicate_title,EVYELİ TEZG.1G/1D SAĞ 3 PERDELİ TABAN RAFLI  DEM. 140*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-147c8-15, oztiryakiler-endustriyel-mutfak__7754-147d8-15"
warn,duplicate_title,EVYELİ TEZG.2G 3 PERDELİ  DEM. 140*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-147c5-27, oztiryakiler-endustriyel-mutfak__7754-147d5-27"
warn,duplicate_title,EVYELİ TEZG.2G 3 PERDELİ TABAN RAFLI  DEM. 140*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-147c8-27, oztiryakiler-endustriyel-mutfak__7754-147d8-27"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ 60*60 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-066a5-01, oztiryakiler-endustriyel-mutfak__7758-066e5-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ 60*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-067b5-01, oztiryakiler-endustriyel-mutfak__7758-067c5-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ 70*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-077c5-01, oztiryakiler-endustriyel-mutfak__7758-077d5-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ DEM. 60*60 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-066a5-01, oztiryakiler-endustriyel-mutfak__7754-066e5-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ DEM. 60*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-067b5-01, oztiryakiler-endustriyel-mutfak__7754-067c5-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ DEM. 70*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-077c5-01, oztiryakiler-endustriyel-mutfak__7754-077d5-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ TABAN RAFLI 60*60 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-066a8-01, oztiryakiler-endustriyel-mutfak__7758-066e8-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ TABAN RAFLI 60*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-067b8-01, oztiryakiler-endustriyel-mutfak__7758-067c8-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ TABAN RAFLI 70*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-077c8-01, oztiryakiler-endustriyel-mutfak__7758-077d8-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ TABAN RAFLI DEM. 60*60 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-066a8-01, oztiryakiler-endustriyel-mutfak__7754-066e8-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ TABAN RAFLI DEM. 60*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-067b8-01, oztiryakiler-endustriyel-mutfak__7754-067c8-01"
warn,duplicate_title,EVYELİ TEZG.1G 3 PERDELİ TABAN RAFLI DEM. 70*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-077c8-01, oztiryakiler-endustriyel-mutfak__7754-077d8-01"
warn,duplicate_title,EVYELİ TEZG.2G/1D SOL 3 PERDELİ 160*60 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-166a5-21, oztiryakiler-endustriyel-mutfak__7758-166e5-21"
warn,duplicate_title,EVYELİ TEZG.2G/1D SOL 3 PERDELİ 160*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-167b5-21, oztiryakiler-endustriyel-mutfak__7758-167c5-21"
warn,duplicate_title,EVYELİ TEZG.2G/1D SOL 3 PERDELİ 190*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-197c5-21, oztiryakiler-endustriyel-mutfak__7758-197d5-21"
warn,duplicate_title,EVYELİ TEZG.2G/1D SAĞ 3 PERDELİ 160*60 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-166a5-25, oztiryakiler-endustriyel-mutfak__7758-166e5-25"
warn,duplicate_title,EVYELİ TEZG.2G/1D SAĞ 3 PERDELİ 160*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-167b5-25, oztiryakiler-endustriyel-mutfak__7758-167c5-25"
warn,duplicate_title,EVYELİ TEZG.2G/1D SAĞ 3 PERDELİ 190*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-197c5-25, oztiryakiler-endustriyel-mutfak__7758-197d5-25"
warn,duplicate_title,EVYELİ TEZG.2G/1D SOL 3 PERDELİ  DEM. 160*60 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-166a5-21, oztiryakiler-endustriyel-mutfak__7754-166e5-21"
warn,duplicate_title,EVYELİ TEZG.2G/1D SOL 3 PERDELİ  DEM. 160*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-167b5-21, oztiryakiler-endustriyel-mutfak__7754-167c5-21"
warn,duplicate_title,EVYELİ TEZG.2G/1D SOL 3 PERDELİ  DEM. 190*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-197c5-21, oztiryakiler-endustriyel-mutfak__7754-197d5-21"
warn,duplicate_title,EVYELİ TEZG.2G/1D SAĞ 3 PERDELİ  DEM. 160*60 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-166a5-25, oztiryakiler-endustriyel-mutfak__7754-166e5-25"
warn,duplicate_title,EVYELİ TEZG.2G/1D SAĞ 3 PERDELİ  DEM. 160*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-167b5-25, oztiryakiler-endustriyel-mutfak__7754-167c5-25"
warn,duplicate_title,EVYELİ TEZG.2G/1D SAĞ 3 PERDELİ  DEM. 190*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-197c5-25, oztiryakiler-endustriyel-mutfak__7754-197d5-25"
warn,duplicate_title,EVYELİ TEZG.2G/1D SOL 3 PERDELİ TABAN RAFLI 160*60 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-166a8-21, oztiryakiler-endustriyel-mutfak__7758-166e8-21"
warn,duplicate_title,EVYELİ TEZG.2G/1D SOL 3 PERDELİ TABAN RAFLI 160*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-167b8-21, oztiryakiler-endustriyel-mutfak__7758-167c8-21"
warn,duplicate_title,EVYELİ TEZG.2G/1D SOL 3 PERDELİ TABAN RAFLI 190*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-197c8-21, oztiryakiler-endustriyel-mutfak__7758-197d8-21"
warn,duplicate_title,EVYELİ TEZG.2G/1D SAĞ 3 PERDELİ TABAN RAFLI 160*60 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-166a8-25, oztiryakiler-endustriyel-mutfak__7758-166e8-25"
warn,duplicate_title,EVYELİ TEZG.2G/1D SAĞ 3 PERDELİ TABAN RAFLI 160*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-167b8-25, oztiryakiler-endustriyel-mutfak__7758-167c8-25"
warn,duplicate_title,EVYELİ TEZG.2G/1D SAĞ 3 PERDELİ TABAN RAFLI 190*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-197c8-25, oztiryakiler-endustriyel-mutfak__7758-197d8-25"
