model;sku;name;liste_eur;satis_eur;fiyat_tl;kaynak;id;dept;group
BM.K;BM.K;"Senox Barmix Bar Mikseri, 1.2 L, Kırmızı";;;20337.31;cafemarkt-plp;senox__bm-k;hazirlik.json;other
BM.S;BM.S;"Senox Barmix Bar Mikseri, 1.2 L, Sarı";;;20337.31;cafemarkt-plp;senox__bm-s;hazirlik.json;other
BNA-027;118.BNA027;"Senox BNA 027 Mafsallı Makyaj Aynası";77.4;41.8;2797;senox-mutbex-liste;senox__senox-bna-027;servis.json;mutbex-only
BNA-028;118.BNA028;"Senox BNA 028 Mafsallı Makyaj Aynası, Led Işıklı";167.7;90.56;6061;senox-mutbex-liste;senox__senox-bna-028;servis.json;mutbex-only
BZ-20;118.BZ20;"Senox BZ20 Buz Makinesi, 15 kg/gün Kapasiteli";903;487.62;32634;senox-mutbex-liste;senox__senox-bz-20;icecek.json;mutbex-only
BZ15;BZ15;"Senox BZ15 Hazneli Parmak Buz Makinesi, 15 kg/gün Kapasiteli";;;24361.26;cafemarkt-plp;senox__bz15;sogutma.json;other
CEK-3GN-11;118.CEK.3GN11;"Senox Çekmeceli Sıcak Dolap, 3xGn 1/1";1935;1044.9;69931;senox-mutbex-liste;senox__senox-cek-3gn-11;sogutma.json;mutbex-only
CF.2220;CF.2220;"Senox CF 2220 Blok Kapaklı Sandık Tipi Derin Dondurucu, 200 L, Inox";;;24035;cafemarkt-plp;senox__cf-2220;sogutma.json;other
CF.3320;CF.3320;"Senox CF 3320 Blok Kapaklı Sandık Tipi Derin Dondurucu, 300 L, Inox";;;25883.85;cafemarkt-plp;senox__cf-3320;sogutma.json;other
CF.4420;CF.4420;"Senox CF 4420 Blok Kapaklı Sandık Tipi Derin Dondurucu, 400 L, Inox";;;29581.54;cafemarkt-plp;senox__cf-4420;sogutma.json;other
CF.4420.BYZ;CF.4420.BYZ;"Senox CF 4420 Blok Kapaklı Sandık Tipi Derin Dondurucu, 400 L, Beyaz";;;27732.7;cafemarkt-plp;senox__cf-4420-byz;sogutma.json;other
CF.5500;CF.5500;"Senox CF 5500 Blok Kapaklı Sandık Tipi Derin Dondurucu, 500 L, Inox";;;46221.15;cafemarkt-plp;senox__cf-5500;sogutma.json;other
CF.5500.BYZ;CF.5500.BYZ;"Senox CF 5500 Blok Kapaklı Sandık Tipi Derin Dondurucu, 500 L, Beyaz";;;29581.54;cafemarkt-plp;senox__cf-5500-byz;sogutma.json;other
CF.6550.BYZ;CF.6550.BYZ;"Senox CF 6550 Blok Kapaklı Sandık Tipi Derin Dondurucu, 650 L, Beyaz";;;59163.08;cafemarkt-plp;senox__cf-6550-byz;sogutma.json;other
CF.6600;CF.6600;"Senox CF 6600 Blok Kapaklı Sandık Tipi Derin Dondurucu, 600 L, Inox";;;55465.38;cafemarkt-plp;senox__cf-6600;sogutma.json;other
CF.6650;CF.6650;"Senox CF 6650 Blok Kapaklı Sandık Tipi Derin Dondurucu, 650 L, Inox";;;59163.08;cafemarkt-plp;senox__cf-6650;sogutma.json;other
CKA;118.CKA;"Senox Çatılı Köpüklü Ayran Makinesi, 40 lt";3289.5;1776.33;118882;senox-mutbex-liste;senox__senox-cka;icecek.json;mutbex-only
CKM-120T;118.CKM.120T;"Senox CKM 120T Çekmeceli Soğuk Teşhir Dolabı, 120x80x105,5 cm";9030;4876.2;326344;senox-mutbex-liste;senox__senox-ckm-120t;sogutma.json;mutbex-only
CKM-150T;118.CKM.150T;"Senox CKM 150T Çekmeceli Soğuk Teşhir Dolabı, 150x80x105,5 cm";10965;5921.1;396274;senox-mutbex-liste;senox__senox-ckm-150t;sogutma.json;mutbex-only
CKM-180T;118.CKM.180T;"Senox CKM 180T Çekmeceli Soğuk Teşhir Dolabı, 180x80x105,5 cm";12900;6966;466205;senox-mutbex-liste;senox__senox-ckm-180t;sogutma.json;mutbex-only
CMVA-1;118.CMVA1;"Senox CMVA1 2 Hızlı Kokteyl Mikseri, Paslanmaz Hazne";541.8;292.57;19580;senox-mutbex-liste;senox__senox-cmva-1;kahve.json;mutbex-only
COFFEDIO;118.COFFEDIO;"Senox Coffeedio Filtre Kahve Makinesi, 1,8 lt Cam Potlu";516;278.64;18648;senox-mutbex-liste;senox__senox-coffedio;kahve.json;mutbex-only
DF-200;118.DF200;"Senox Blok Kapılı Derin Dondurucu, 200L, DF 200";774;417.96;27972;senox-mutbex-liste;senox__senox-df-200;sogutma.json;mutbex-only
DF-300;118.DF300;"Senox Blok Kapılı Derin Dondurucu, 300L, DF 300";838.5;452.79;30303;senox-mutbex-liste;senox__senox-df-300;sogutma.json;mutbex-only
DF-400;118.DF400;"Senox Blok Kapılı Derin Dondurucu, 400L, DF 400";967.5;522.45;34965;senox-mutbex-liste;senox__senox-df-400;sogutma.json;mutbex-only
DF-500;118.DF500;"Senox Blok Kapılı Derin Dondurucu, 500L, DF 500";1032;557.28;37296;senox-mutbex-liste;senox__senox-df-500;sogutma.json;mutbex-only
DF-500K;118.DF500K;"Senox Blok Kapılı Derin Dondurucu, Krom , 500L, DF 500K";1419;766.26;51283;senox-mutbex-liste;senox__senox-df-500k;sogutma.json;mutbex-only
DF-600;118.DF600;"Senox Blok Kapılı Derin Dondurucu, 600L, DF 600";1419;766.26;51283;senox-mutbex-liste;senox__senox-df-600;sogutma.json;mutbex-only
DF-600K;118.DF600K;"Senox Blok Kapılı Derin Dondurucu, Krom , 600L, DF 600K";1741.5;940.41;62938;senox-mutbex-liste;senox__senox-df-600k;sogutma.json;mutbex-only
DP-250;118.DP.250;"Senox DP 250 Dik Tip Soğuk Pasta Teşhir Dolabı, 52,2x48,7x186 cm";3870;2089.8;139862;senox-mutbex-liste;senox__senox-dp-250;sogutma.json;mutbex-only
DP-270;118.DP.270;"Senox DP 270 Dik Tip Soğuk Pasta Teşhir Dolabı, 55,9x52,5x189,5 cm";3096;1671.84;111889;senox-mutbex-liste;senox__senox-dp-270;sogutma.json;mutbex-only
DP-360;118.DP.360;"Senox DP 360 Dik Soğuk Pasta Teşhir Dolabı, 68x68x1768,4 cm";6450;3483;233103;senox-mutbex-liste;senox__senox-dp-360;sogutma.json;mutbex-only
DP-600;118.DP.600;"Senox DP 600 Dik Tip Soğuk Pasta Teşhir Dolabı, 85,2x65,2x199 cm";5805;3134.7;209792;senox-mutbex-liste;senox__senox-dp-600;sogutma.json;mutbex-only
DP-66;118.DP.66;"Senox DP 66 Dik Tip Soğuk Pasta Teşhir Dolabı, 45x45x101,3 cm";1935;1044.9;69931;senox-mutbex-liste;senox__senox-dp-66;sogutma.json;mutbex-only
DP-98;118.DP.98;"Senox DP 98 Dik Tip Soğuk Pasta Teşhir Dolabı, 45,4x40,8x112 cm";11610;6269.4;419585;senox-mutbex-liste;senox__senox-dp-98;sogutma.json;mutbex-only
