model;sku;fix_tip;before_kaynak;after_kaynak;pdf_liste_eur;mut_liste_eur;before_tl;after_tl;diff_tl;pdf_key
ADA-150T;118.ADA.150T;price_down;senox-pdf-2026-1;senox-pdf-2026-1;3000;7740;97064;97295;231;ADA150T
SDS-770-DC-2DF;118.SDS770.DC2DF;price_down;senox-mutbex-liste;senox-mutbex-liste;;2967;95996;96225;229;
PD-400D;118.PD400D;price_down;senox-mutbex-liste;senox-mutbex-liste;;2967;95996;96225;229;
SDS-1010-DC-2CF-S;118.SDS1010.DC2CF.S;price_down;senox-mutbex-liste;senox-mutbex-liste;;2902.5;93909;94133;224;
SDS-1010-SC-2CF-S;118.SDS1010.SC2CF.S;price_down;senox-mutbex-liste;senox-mutbex-liste;;2902.5;93909;94133;224;
SDS-1010-DC-2YF-S;118.SDS1010.DC2YF.S;price_down;senox-mutbex-liste;senox-mutbex-liste;;2902.5;93909;94133;224;
SDS-1010-SC-2YF-S;118.SDS1010.SC2YF.S;price_down;senox-mutbex-liste;senox-mutbex-liste;;2902.5;93909;94133;224;
SLS-03;118.SLS.03;price_down;senox-pdf-2026-1;senox-pdf-2026-1;2800;3612;90593;90809;216;SLS03
S-900K;118.S.900K;price_down;senox-mutbex-liste;senox-mutbex-liste;;2709;87649;87857;208;
PD-400;118.PD400;price_down;senox-mutbex-liste;senox-mutbex-liste;;2709;87649;87857;208;
WN-770;118.WN.770;price_down;senox-pdf-2026-1;senox-pdf-2026-1;2700;3483;87357;87565;208;WN770
WN-1010;118.WN.1010;price_down;senox-pdf-2026-1;senox-pdf-2026-1;2700;3483;87357;87565;208;WN1010
SDS-1010-DC-2CF-B;118.SDS1010.DC2CF.B;price_down;senox-mutbex-liste;senox-mutbex-liste;;2580;83475;83674;199;
SDS-1010-SC-2CF-B;118.SDS1010.SC2CF.B;price_down;senox-mutbex-liste;senox-mutbex-liste;;2580;83475;83674;199;
SDS-1010-SC-2YF-B;118.SDS1010.SC2YF.B;price_down;senox-mutbex-liste;senox-mutbex-liste;;2580;83475;83674;199;
KSC-458;118.KSC.458;price_down;senox-mutbex-liste;senox-mutbex-liste;;2580;83475;83674;199;
SET-E-120S;118.SET.E.120S;price_down;senox-mutbex-liste;senox-mutbex-liste;;2580;83475;83674;199;
AAMH-300;118.AAMH300;price_down;senox-mutbex-liste;senox-mutbex-liste;;2451;79301;79490;189;
WF-377;118.WF377;price_down;senox-mutbex-liste;senox-mutbex-liste;;2451;79301;79490;189;
VM-3;VM-3;price_down;senox-pdf-2026-1;senox-pdf-2026-1;2400;;77651;77836;185;VM3
300-COMBİ;118.300.COMBİ;price_down;senox-mutbex-liste;senox-mutbex-liste;;2386.5;77214;77398;184;
SRDNY-215;118.SRDNY215;price_down;senox-mutbex-liste;senox-mutbex-liste;;2322;75127;75306;179;
SNX-12R;118.SNX12R;price_down;senox-pdf-2026-1;senox-pdf-2026-1;2300;2967;74416;74593;177;SNX12R
SET-P-90S;118.SET.P.90S;price_down;senox-mutbex-liste;senox-mutbex-liste;;2257.5;73040;73214;174;
WN-385;118.WN385;price_down;senox-mutbex-liste;senox-mutbex-liste;;2193;70954;71123;169;
GGM;118.GGM;price_down;senox-mutbex-liste;senox-mutbex-liste;;2128.5;68867;69031;164;
SLS-02;118.SLS.02;price_down;senox-pdf-2026-1;senox-pdf-2026-1;2100;2709;67945;68106;161;SLS02
SLD-04;118.SLD.04;price_down;senox-pdf-2026-1;senox-pdf-2026-1;2000;2580;64709;64863;154;SLD04
WN-375S;118.WN375S;price_down;senox-mutbex-liste;senox-mutbex-liste;;1999.5;64693;64847;154;
SDS-385-DC-1YWP;118.SDS385.DC1YWP;price_down;senox-mutbex-liste;senox-mutbex-liste;;1999.5;64693;64847;154;
SET-E-90C;118.SET.E.90C;price_down;senox-mutbex-liste;senox-mutbex-liste;;1999.5;64693;64847;154;
8060-PPNC;118.8060.PPNC;price_down;senox-mutbex-liste;senox-mutbex-liste;;1935;62606;62755;149;
CEK-3GN-11;118.CEK.3GN11;price_down;senox-mutbex-liste;senox-mutbex-liste;;1935;62606;62755;149;
DP-66;118.DP.66;price_down;senox-mutbex-liste;senox-mutbex-liste;;1935;62606;62755;149;
SET-E-90S;118.SET.E.90S;price_down;senox-mutbex-liste;senox-mutbex-liste;;1935;62606;62755;149;
KA-18;118.KA18;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1880;2425.2;60827;60971;144;KA18
SDS-710-DC;118.SDS.710.DC;price_down;senox-mutbex-liste;senox-mutbex-liste;;1870.5;60519;60663;144;
SET-E-75S;118.SET.E.75S;price_down;senox-mutbex-liste;senox-mutbex-liste;;1806;58432;58572;140;
SET-P-90C;118.SET.P.90C;price_down;senox-mutbex-liste;senox-mutbex-liste;;1806;58432;58572;140;
WM-2;WM-2;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1800;;58238;58377;139;WM2
KA-30;118.KA30;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1800;2322;58238;58377;139;KA30
KKM-01;118.KKM.01;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1800;2322;58238;58377;139;KKM01
SLD-03;118.SLD.03;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1800;2322;58238;58377;139;SLD03
DT-200;118.DT.200;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1800;2322;58238;58377;139;DT200
8060-MCC;118.8060.MCC;price_down;senox-mutbex-liste;senox-mutbex-liste;;1741.5;56346;56480;134;
DF-600K;118.DF600K;price_down;senox-mutbex-liste;senox-mutbex-liste;;1741.5;56346;56480;134;
SBCS-350;118.SBCS.350;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1700;2193;55003;55134;131;SBCS350
SBC-350;118.SBC.350;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1700;2128.5;55003;55134;131;SBC350
WN-350;118.WN.350;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1700;2193;55003;55134;131;WN350
SET-P-75C;118.SET.P.75C;price_down;senox-mutbex-liste;senox-mutbex-liste;;1677;54259;54388;129;
SLS-01;118.SLS.01;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1600;2064;51767;51891;124;SLS01
SYD-510;118.SYD510;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1600;2064;51767;51891;124;SYD510
KSC-293;118.KSC.293;price_down;senox-mutbex-liste;senox-mutbex-liste;;1612.5;52172;52296;124;
SSC-510;118.SSC.510;price_down;senox-mutbex-liste;senox-mutbex-liste;;1612.5;52172;52296;124;
DT-100;118.DT.100;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1600;2064;51767;51891;124;DT100
HC-600;118.HC.600;price_down;senox-mutbex-liste;senox-mutbex-liste;;1573.8;50920;51041;121;
SDS-265-DC-1-CF-P;118.SDS.265.DC.1.CF.P;price_down;senox-mutbex-liste;senox-mutbex-liste;;1548;50085;50204;119;
BBC-350;118.BBC.350;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1500;1935;48532;48647;115;BBC350
BBCS-350;118.BBCS.350;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1500;2064;48532;48647;115;BBCS350
SYD-410;118.SYD410;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1500;1935;48532;48647;115;SYD410
WN-250;118.WN.250;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1450;1870.5;46914;47026;112;WN250
DF-600;118.DF600;price_down;senox-mutbex-liste;senox-mutbex-liste;;1419;45911;46020;109;
DF-500K;118.DF500K;price_down;senox-mutbex-liste;senox-mutbex-liste;;1419;45911;46020;109;
SSC-375;118.SSC.375;price_down;senox-mutbex-liste;senox-mutbex-liste;;1419;45911;46020;109;
KSC-390;118.KSC.390;price_down;senox-mutbex-liste;senox-mutbex-liste;;1419;45911;46020;109;
WN-180;118.WN.180;price_down;senox-mutbex-liste;senox-mutbex-liste;;1419;45911;46020;109;
80LK;118.80LK;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1400;1419;45296;45404;108;80LK
SBC-250;118.SBC.250;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1400;1741.5;45296;45404;108;SBC250
SET-85P;118.SET.85P;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1400;1806;45296;45404;108;SET85P
WN-150;118.WN.150;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1350;1741.5;43679;43783;104;WN150
GGM-M-30;118.GGM.M30;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1300;3031.5;42061;42161;100;PLM30
SYD-310;118.SYD310;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1300;1677;42061;42161;100;SYD310
NRGZ-100;118.NRGZ100;price_down;senox-mutbex-liste;senox-mutbex-liste;;1290;41737;41837;100;
SDS-265-DC-1-CF;118.SDS.265.DC.1.CF;price_down;senox-mutbex-liste;senox-mutbex-liste;;1290;41737;41837;100;
SET-67P;118.SET.67P;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1300;1677;42061;42161;100;SET67P
SDS-385-DCPF;118.SDS385.DCPF;price_down;senox-mutbex-liste;senox-mutbex-liste;;1290;41737;41837;100;
BBC-250;118.BBC.250;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1250;1612.5;40443;40540;97;BBC250
BBCS-250;118.BBCS.250;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1250;1677;40443;40540;97;BBCS250
40-LK;118.40.LK;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1200;1032;38825;38918;93;40LK
SBC-150;118.SBC.150;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1200;1548;38825;38918;93;SBC150
HT-15;118.HT.15;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1200;1548;38825;38918;93;HT15
GGM-M-20;118.GGM.M20;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1100;2386.5;35590;35675;85;PLM20
SRB-15X-2;118.SRB.15X2;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1100;903;35590;35675;85;SRB15X2
BBC-150;118.BBC.150;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1100;1419;35590;35675;85;BBC150
HT-12;118.HT.12;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1100;1419;35590;35675;85;HT12
7301-S;118.7301.S;price_down;senox-mutbex-liste;senox-mutbex-liste;;1096.5;35477;35561;84;
7301-G;118.7301.G;price_down;senox-mutbex-liste;senox-mutbex-liste;;1096.5;35477;35561;84;
DF-500;118.DF500;price_down;senox-mutbex-liste;senox-mutbex-liste;;1032;33390;33469;79;
SMF-5120-ST;118.SMF.5120.ST;price_down;senox-mutbex-liste;senox-mutbex-liste;;1032;33390;33469;79;
TITAN-LL;118.TITAN.ll;price_down;senox-mutbex-liste;senox-mutbex-liste;;1006.2;32555;32633;78;
SFT-01;118.SFT.01;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1000;1290;32355;32432;77;SFT01
HT-10;118.HT.10;price_down;senox-pdf-2026-1;senox-pdf-2026-1;1000;1290;32355;32432;77;HT10
DF-400;118.DF400;price_down;senox-mutbex-liste;senox-mutbex-liste;;967.5;31303;31378;75;
7300A;118.7300A;price_down;senox-mutbex-liste;senox-mutbex-liste;;967.5;31303;31378;75;
EMH-15;118.EMH15;price_down;senox-mutbex-liste;senox-mutbex-liste;;903;29216;29286;70;
40-LB;118.40.LB;price_down;senox-mutbex-liste;senox-mutbex-liste;;903;29216;29286;70;
BZ-20;118.BZ20;price_down;senox-mutbex-liste;senox-mutbex-liste;;903;29216;29286;70;
MS-10;118.MS10;price_down;senox-pdf-2026-1;senox-pdf-2026-1;850;1096.5;27501;27567;66;MS10
DF-300;118.DF300;price_down;senox-mutbex-liste;senox-mutbex-liste;;838.5;27129;27194;65;
WD-737;118.WD737;price_down;senox-pdf-2026-1;senox-pdf-2026-1;800;1032;25884;25945;61;WD737
DF-200;118.DF200;price_down;senox-mutbex-liste;senox-mutbex-liste;;774;25042;25102;60;
MS-07;118.MS07;price_down;senox-pdf-2026-1;senox-pdf-2026-1;750;967.5;24266;24324;58;MS07
 IC-80A;118. IC80A;price_down;senox-pdf-2026-1;senox-pdf-2026-1;700;903;22648;22702;54;IC80A
SRB-15X-3;118.SRB.15X3;price_down;senox-pdf-2026-1;senox-pdf-2026-1;700;1419;22648;22702;54;SRB15X3
