scope	brand	category	subcategory	sku	product_code	barcode	equsto_name	equsto_price_vat_included	mutbex_name	mutbex_price_vat_included	difference_tl	difference_percent	classification	match_method	confidence	stock_status	equsto_url	mutbex_url	notes
HAZIRLIK	Dito Sama	Hazırlık	Xbe30 Xbm30 30 Litre	208.600176	DİTO		Dito Sama MBE40 Planet Mikser, 40 L, 380V	408300.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600176		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe30 Xbm30 30 Litre	208.600167	DİTO		Dito Sama XBE30 Planet Mikser, 30 L, 220V	236229.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600167		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe30 Xbm30 30 Litre	208.600163	DİTO		Dito Sama XBM30 Planet Mikser, 30 L, 380V	217350.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600163		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe60 Bmx60 Bmxe60 Xbe80 Bmxe80 60 Litre 80 Litre	208.600177	DİTO		Dito Sama BMX60 Planet Mikser, 60 L	622692.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600177		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe60 Bmx60 Bmxe60 Xbe80 Bmxe80 60 Litre 80 Litre	208.600181	DİTO		Dito Sama BMXE60 Planet Mikser, 60 L	717778.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600181		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe60 Bmx60 Bmxe60 Xbe80 Bmxe80 60 Litre 80 Litre	208.600186	DİTO		Dito Sama BMXE80 Planet Mikser, 80 L	781457.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600186		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe60 Bmx60 Bmxe60 Xbe80 Bmxe80 60 Litre 80 Litre	208.600182	DİTO		Dito Sama XBE60 Planet Mikser, 60 L	744049.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600182		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe60 Bmx60 Bmxe60 Xbe80 Bmxe80 60 Litre 80 Litre	208.600187	DİTO		Dito Sama XBE80 Planet Mikser, 80 L	833262.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600187		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Et Ve Balik Hazirlik Tezgahlari	132962	ELECTROLUX		Premium Serisi Tezgah-Evyeler 1200 mm Et ve Balık Hazırlama/Yıkama Tezgahı	98144.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/132962		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Et Ve Balik Hazirlik Tezgahlari	132963	ELECTROLUX		Premium Serisi Tezgah-Evyeler 1600 mm Et ve Balık Hazırlama/Yıkama Tezgahı	115638.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/132963		No match found on Mutbex
